"id","levelId","levelName","paperName","question","optionA","optionB","optionC","optionD","answer","answerIndex","explanation","enabled"
"lesson7-第七課-深藍的憂鬱-小卷-1","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","下列「勝」字的讀音，何者與其他三者不同？","略「勝」一籌","引人入「勝」","美不「勝」收","旗開得「勝」","C","2","(A)(B)(D)ㄕㄥˋ(C)ㄕㄥ","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-2","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","下列「 」中的「窮」字，何者字義為「荒僻、偏遠」？","「窮」鄉僻壤","層出不「窮」","家境貧「窮」","「窮」則獨善其身","A","0","(B)盡、止(C)貧乏、貧困(D)困厄、不顯達","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-3","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","「連續打了幾天仗，敵軍突然偃旗息鼓，不知有何陰謀？」句中的「偃旗息鼓」換成下列哪個成語文意改變？","鳴金收兵","偃兵息甲","銷聲匿跡","重整旗鼓","D","3","(D)重新整頓發號施令的旗幟和戰鼓。比喻失敗後積聚力量，重新行動。(A)(B)(C)近義(D)反義","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-4","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","把一個詞彙原來的詞性靈活地轉變為其他詞性的修辭，就稱為「轉品」。下列「 」中的字，何者屬於把名詞轉成副詞？","「雪」花片片","騎車「蛇」行","「落」 英繽紛","不「菸」不酒","B","1","(A)名詞轉形容詞(C)動詞轉形容詞(D)名詞轉動詞","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-5","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","下列文句，何者有冗言贅字？","他從小就喜歡閱讀各類書籍，增廣見聞","老師在課堂上循循善誘，啟發學生思考","這篇文章的內容十分簡要扼要，容易理解","小美因為貪玩忘了寫作業，被老師批評","C","2","(C)「簡要」、「扼要」擇一刪","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-6","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","「我已信心全失，沮喪得無地自容，只好偃旗息鼓，一個人躲在沒人知道的地方，放聲哭泣。」這段話可以推知，棋王當時的心境最接近下列何者？","因遭遇失敗而自覺羞辱，陷入低潮","因連續獲勝而感到孤單落寞","因被世人讚賞而心生驕傲","因比賽壓力過大而選擇放棄參賽","A","0","「信心全失」「沮喪」「無地自容」等詞都顯示因棋王因屢敗而自覺羞辱、陷入低潮，故選(A)","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-7","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","「電腦即將接管世界了！人類的智慧還有用嗎？」這句話主要表現出何種含意？","擔心人類智慧將被電腦取代","科學家憂心電腦可能毀滅世界","棋王認為電腦智慧只是人類的附屬品","媒體渲染電腦的能力其實遠超人類","A","0","除了凸顯棋王對於連敗的挫敗，也顯示人類對智慧被電腦超越的恐懼，故選(A)","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-8","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","「我常常在夢裡看到一個全身藍色衣服的翩翩少年站在我前面，絮絮叨叨說些我聽不懂的話」這段文字主要寓意為何？","少年代表人類未來的新希望","棋王因連敗而留下的創傷揮之不去","夢境顯示棋王即將贏回比賽","少年象徵人類與電腦和平共存","B","1","「夢裡不斷出現藍衣少年」象徵潛意識揮之不去的夢魘，正是被深藍擊敗帶來的心理創傷，故選(B)","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-9","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","「深藍禮貌地對我鞠躬，我竟不自覺地對機器點頭。我面對的是一個可敬可怕的對手，卻不是人類。」這段文字主要揭示什麼意涵？","棋王意識到自己比深藍更有人性","棋王藉禮貌行為表示對深藍的熱愛","棋王一度忘卻深藍是電腦，顯示機器已極接近人類","棋王因對深藍的恐懼而決定棄賽","C","2","棋王「不自覺地點頭」代表把深藍當成人，暗示機器外貌與舉止幾乎與人無異，故選(C)","TRUE"
"lesson7-第七課-深藍的憂鬱-小卷-10","lesson7","第七課 深藍的憂鬱","第七課 深藍的憂鬱 小卷","關於深藍的憂鬱的寫作手法，下列敘述何者正確？","以棋王外型對比，強化深藍外形的聰慧俊美特徵","以懸疑鋪墊，引導讀者期待深藍勝利的最終結果","以情節轉折，呈現棋王從勝利走向失落的歷程","以形象翻轉，展現機器流露情感引發人性思考","D","3","深藍由冷酷的機器，最後竟「大聲哭起來」，甚至自稱「更像人類」。這種設計使人機界線模糊，引發思考，故選(D)。(A)未描述棋王的外型，也無對比(B)應該是棋局的輸贏結果，而非深藍的勝利(C)應是從失落到勝利","TRUE"
