"id","levelId","levelName","paperName","question","optionA","optionB","optionC","optionD","answer","answerIndex","explanation","enabled"
"lesson8-第八課-陋室銘-小卷-1","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","下列「 」中的字，何者前後讀音不同？","褻「瀆」神明／初生之「犢」","初出茅「廬」／「蘆」筍汁","物美價「廉」／垂「簾」聽政","「糯」米飯糰／相「濡」以沫","D","3","(A)ㄉㄨˊ(B)ㄌㄨˊ(C)ㄌㄧㄢˊ(D)ㄋㄨㄛˋ／ㄖㄨˊ","TRUE"
"lesson8-第八課-陋室銘-小卷-2","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","下列「 」中的「素」字，何者為「一向的、平日的」之義？","「素」行不良","留蚊於「素」帳中","尸位「素」餐","穿著樸「素」","A","0","(B)白色的(C)空的、平白的(D)不加雕飾的","TRUE"
"lesson8-第八課-陋室銘-小卷-3","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","下列倒裝句語序還原的對應，何者有誤？","何難之有→難有何事","菊之愛→愛菊","馬首是瞻→瞻馬首","唯兄嫂是依→唯依兄嫂","A","0","(A)有何難","TRUE"
"lesson8-第八課-陋室銘-小卷-4","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","下列借代事物與借代本體的配對，何者正確？","東道主：女婿","梨園子弟：富貴人家子弟","「杏壇」之光：教育界","造福「桑梓」：國家","C","2","(A)主人(B)演藝人員(D)故鄉家園","TRUE"
"lesson8-第八課-陋室銘-小卷-5","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","下列文句，何者有冗言贅字？","他向來勤奮努力，深受同學敬重","這幅畫的色調繁多豐富，極為搶眼","弟弟天真爛漫，常常逗得大家哈哈大笑","我們必須認真準備，迎接即將到來的考試","B","1","(B)「繁多」、「豐富」擇一刪","TRUE"
"lesson8-第八課-陋室銘-小卷-6","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","「山不在高，有仙則名；水不在深，有龍則靈。」關於這段話的理解，下列何者正確？","山水是否出名，全在於外型壯麗","居住的地方能因居住者的德行而有價值","山水必須高深，才會有神仙居住","只有仙人、龍神，才能使人獲得名聲","B","1","作者以山水比喻居室，指出地位或外觀並不重要，真正重要的是居住者的品德，故選(B)","TRUE"
"lesson8-第八課-陋室銘-小卷-7","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","「斯是陋室，惟吾德馨。」本句話的寓意最接近下列何者？","陋室雖小，但因景色優美而可貴","陋室清靜，才會讓人忘卻世俗煩惱","陋室簡陋，卻因主人品德而不陋","陋室孤寂，反而讓人心情沉澱思索","C","2","「惟吾德馨」是全文核心，強調德行可使陋室不陋，故選(C)","TRUE"
"lesson8-第八課-陋室銘-小卷-8","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","「無絲竹之亂耳，無案牘之勞形」主要反映了作者對生活的什麼態度？","追求官場功名，為民奔走辛勞","崇尚幽靜生活，不慕權勢繁華","喜愛音樂宴樂，時常陶醉其中","熱衷政務公文，十分樂在其中","B","1","此處強調沒有嘈雜樂音與公務文件干擾，反映作者珍惜閒適幽靜的生活，故選(B)","TRUE"
"lesson8-第八課-陋室銘-小卷-9","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","下列敘述，何者最貼近作者寫「南陽 諸葛廬，西蜀 子雲亭」的用意？","作者羨慕前人居住豪華住宅","作者引用古人事蹟，增加文章氣勢","作者批評諸葛亮與揚雄隱居無用","作者自比前賢，冀望志業有成","D","3","作者藉由歷史人物的居所，表明自己品德才華可與前賢比肩，並期待未來有所作為，故選(D)","TRUE"
"lesson8-第八課-陋室銘-小卷-10","lesson8","第八課 陋室銘","第八課 陋室銘 小卷","關於陋室銘的寫作手法，下列敘述何者正確？","全文多以散句為主，句式雜亂無章","文章僅寫景抒情，沒有議論鋪陳","文中多用對偶句，音韻和諧節奏明快","主要依靠華麗詞藻，展現奢華氣勢","C","2","(A)除了最後一句是散句，其餘皆為對偶句，並不雜亂(B)全文除了寫景抒情，還有議論(D)文章不以華麗詞藻為主","TRUE"
"lesson8-第八課-陋室銘-1","lesson8","第八課 陋室銘","第八課 陋室銘","下列「 」內的「丁」字，何者不是指人？","目不識「丁」","庖「丁」解牛","人「丁」單薄","往來無白「丁」","A","0","(A)字，比喻極易認識的字","TRUE"
"lesson8-第八課-陋室銘-2","lesson8","第八課 陋室銘","第八課 陋室銘","下列哪個「之」字的詞性，和「何陋之有」的「之」字不同？","無絲竹「之」亂耳","無案牘「之」勞形","蓮「之」愛，同予者何人","學而時習「之」，不亦說乎","D","3","題幹與(A)(B)(C)助詞。(D)代詞","TRUE"
"lesson8-第八課-陋室銘-3","lesson8","第八課 陋室銘","第八課 陋室銘","下列「 」中的字，何者用來表示真正的顏色？","草色入簾「青」","往來無「白」丁","可以調「素」琴","閱「金」經","A","0","(B)指不識字的(C)不加雕飾的(D)珍藏的","TRUE"
"lesson8-第八課-陋室銘-4","lesson8","第八課 陋室銘","第八課 陋室銘","「山不在高，有仙則名；水不在深，有龍則靈。」有關這四句的暗喻，下列何者說明正確？","以「山」、「水」比喻作者自己","以「仙」、「龍」比喻陋室","以「山」、「仙」比喻作者自己，以「水」、「龍」比喻陋室","以「山」、「水」比喻陋室，以「仙」、「龍」比喻作者自己","D","3","以「山」、「水」比喻居室；「仙」、「龍」比喻有品德、學識的人，暗指自己，故選(D)","TRUE"
"lesson8-第八課-陋室銘-5","lesson8","第八課 陋室銘","第八課 陋室銘","「苔痕上階綠」除了顯現陋室生意盎然之外，還有下列哪種暗示？","少有訪客","天常陰雨","住處偏遠","交通不便","A","0","(A)由於少有訪客，才會綠苔滿階","TRUE"
"lesson8-第八課-陋室銘-6","lesson8","第八課 陋室銘","第八課 陋室銘","「談笑有鴻儒，往來無白丁。」這二句是借客人來襯托主人的何種人格特質？","一意孤行","目空一切","高傲不群","高雅脫俗","D","3","以客人的庸俗襯托主人的高雅脫俗，才德兼備，故選(D)","TRUE"
"lesson8-第八課-陋室銘-7","lesson8","第八課 陋室銘","第八課 陋室銘","「孔子云：『何陋之有？』」作者在這句話之前，其實還隱藏了下列何句？","有仙則名","君子居之","斯是陋室","惟吾德馨","B","1","出自論語 子罕：「子曰：『君子居之，何陋之有？』」故選(B)","TRUE"
"lesson8-第八課-陋室銘-8","lesson8","第八課 陋室銘","第八課 陋室銘","下列「 」中的字，何者字形應用錯誤？","以身作「則」","「鴻」圖大展","舐「牘」情深","毫無瓜「葛」","C","2","(C)舐「牘」情深→犢","TRUE"
"lesson8-第八課-陋室銘-9","lesson8","第八課 陋室銘","第八課 陋室銘","下列有關陋室銘一文的敘述，何者正確？","本文句子全採對仗形式","本文以「惟吾德馨」貫串全文","開頭四句點明題旨，採用破題法","押韻字有「名、靈、青、丁、經、形、亭」","B","1","(A)並非通篇對仗(C)開頭六句(D)名、靈、馨、青、丁、經、形、亭","TRUE"
"lesson8-第八課-陋室銘-10","lesson8","第八課 陋室銘","第八課 陋室銘","諸葛亮 出師表：「臣本布衣，躬耕於南陽，全性命於亂世，不求聞達於諸侯。」由上文可知，諸葛亮的出身為何？","貴族","富商","平民","奴隸","C","2","「布衣」原指古代平民所穿的衣服，後借代為平民，故選(C)","TRUE"
